trackID,genre,genre_le
2272,metal,4
1731,dance and electronica,1
2565,punk,6
142,pop,5
351,dance and electronica,1
5839,classic pop and rock,0
4752,folk,2
3141,metal,4
4205,punk,6
4765,metal,4
2754,punk,6
7974,metal,4
3793,pop,5
8237,dance and electronica,1
3058,folk,2
8252,classic pop and rock,0
5402,folk,2
947,folk,2
6588,classic pop and rock,0
3443,punk,6
4256,soul and reggae,7
3640,jazz and blues,3
4268,folk,2
4653,classic pop and rock,0
1450,folk,2
87,dance and electronica,1
524,dance and electronica,1
777,dance and electronica,1
1176,classic pop and rock,0
3249,classic pop and rock,0
98,pop,5
7449,punk,6
150,soul and reggae,7
4893,folk,2
5175,metal,4
3570,metal,4
3543,folk,2
1014,classic pop and rock,0
6844,dance and electronica,1
2586,jazz and blues,3
964,punk,6
2780,classic pop and rock,0
6251,folk,2
8267,classic pop and rock,0
6848,punk,6
4278,folk,2
8297,classic pop and rock,0
674,jazz and blues,3
5966,folk,2
1213,classic pop and rock,0
8087,pop,5
3528,dance and electronica,1
2603,folk,2
3036,classic pop and rock,0
3751,metal,4
7761,metal,4
1745,dance and electronica,1
6581,folk,2
8301,dance and electronica,1
6398,punk,6
3576,folk,2
1529,classic pop and rock,0
1703,classic pop and rock,0
6020,classic pop and rock,0
3632,metal,4
137,metal,4
5042,metal,4
4490,folk,2
1049,classic pop and rock,0
2418,punk,6
5245,classic pop and rock,0
7626,folk,2
5260,folk,2
8000,punk,6
8480,soul and reggae,7
6451,metal,4
3832,metal,4
4317,classic pop and rock,0
2654,soul and reggae,7
7687,metal,4
6504,dance and electronica,1
8530,punk,6
780,punk,6
5614,metal,4
4697,dance and electronica,1
2977,dance and electronica,1
5537,pop,5
8420,punk,6
7527,metal,4
181,metal,4
6453,pop,5
2239,punk,6
998,folk,2
830,metal,4
5243,soul and reggae,7
3284,classic pop and rock,0
1068,punk,6
8225,folk,2
774,punk,6
3977,classic pop and rock,0
6559,folk,2
8160,soul and reggae,7
7765,metal,4
5259,pop,5
4630,pop,5
783,soul and reggae,7
35,classic pop and rock,0
224,metal,4
8137,folk,2
2689,folk,2
3799,punk,6
7653,folk,2
7729,classic pop and rock,0
4732,classic pop and rock,0
3132,folk,2
567,folk,2
7940,folk,2
3974,punk,6
4206,classic pop and rock,0
2163,pop,5
8304,folk,2
8487,dance and electronica,1
6157,classic pop and rock,0
3398,classic pop and rock,0
1648,folk,2
8515,soul and reggae,7
6463,folk,2
5790,metal,4
29,punk,6
7387,jazz and blues,3
5334,metal,4
5237,soul and reggae,7
7139,metal,4
3942,pop,5
3574,soul and reggae,7
7169,folk,2
8511,punk,6
7022,punk,6
7719,classic pop and rock,0
426,classic pop and rock,0
7733,metal,4
6315,folk,2
3052,punk,6
8139,metal,4
7744,classic pop and rock,0
7539,pop,5
7205,soul and reggae,7
6810,classic pop and rock,0
7732,punk,6
8378,classic pop and rock,0
1036,folk,2
5032,classic pop and rock,0
5871,soul and reggae,7
2999,punk,6
7295,classic pop and rock,0
5380,classic pop and rock,0
1073,soul and reggae,7
4725,folk,2
3548,jazz and blues,3
1448,dance and electronica,1
7645,metal,4
6531,folk,2
1886,folk,2
8250,metal,4
4889,metal,4
227,classic pop and rock,0
5413,punk,6
6654,folk,2
7465,punk,6
3675,dance and electronica,1
5496,folk,2
7624,pop,5
6127,jazz and blues,3
5182,folk,2
5330,pop,5
1345,classic pop and rock,0
4759,folk,2
2342,soul and reggae,7
4910,folk,2
1001,punk,6
8486,punk,6
7961,metal,4
79,folk,2
2915,classic pop and rock,0
5924,classic pop and rock,0
6925,classic pop and rock,0
1283,classic pop and rock,0
541,classic pop and rock,0
7891,metal,4
3744,folk,2
3353,folk,2
3889,metal,4
2015,folk,2
4864,metal,4
2587,folk,2
5754,soul and reggae,7
7872,metal,4
1771,folk,2
4498,punk,6
6650,soul and reggae,7
7782,classic pop and rock,0
6740,classic pop and rock,0
2008,metal,4
4071,classic pop and rock,0
4794,folk,2
4312,punk,6
967,classic pop and rock,0
1264,folk,2
483,pop,5
5569,classic pop and rock,0
1800,soul and reggae,7
105,classic pop and rock,0
433,dance and electronica,1
7752,classic pop and rock,0
2076,folk,2
1396,pop,5
5934,punk,6
5806,metal,4
2907,folk,2
691,punk,6
247,metal,4
7262,metal,4
4665,soul and reggae,7
3294,folk,2
3585,pop,5
6073,folk,2
1939,folk,2
4526,pop,5
7866,pop,5
3556,folk,2
5988,classic pop and rock,0
7178,folk,2
3654,pop,5
1998,punk,6
1832,folk,2
5990,metal,4
5672,classic pop and rock,0
4955,folk,2
382,punk,6
125,punk,6
2926,classic pop and rock,0
6423,metal,4
2488,folk,2
5551,dance and electronica,1
2248,classic pop and rock,0
7548,pop,5
4832,soul and reggae,7
7236,folk,2
7274,dance and electronica,1
6366,classic pop and rock,0
2692,soul and reggae,7
7636,punk,6
7303,metal,4
2791,soul and reggae,7
1467,soul and reggae,7
92,classic pop and rock,0
5642,folk,2
6878,soul and reggae,7
4662,soul and reggae,7
7890,metal,4
1871,metal,4
1449,folk,2
4957,soul and reggae,7
1990,folk,2
1897,folk,2
361,classic pop and rock,0
41,pop,5
8096,punk,6
677,folk,2
2706,folk,2
6102,classic pop and rock,0
2086,classic pop and rock,0
4975,punk,6
7783,classic pop and rock,0
7270,classic pop and rock,0
135,jazz and blues,3
7523,punk,6
7978,pop,5
6467,classic pop and rock,0
6422,punk,6
6912,folk,2
7875,folk,2
2285,folk,2
5000,folk,2
7886,folk,2
4553,punk,6
1276,dance and electronica,1
3227,metal,4
520,punk,6
5104,metal,4
4410,metal,4
5738,jazz and blues,3
970,punk,6
4189,punk,6
3969,soul and reggae,7
5317,metal,4
406,punk,6
1599,metal,4
5327,classic pop and rock,0
7802,punk,6
3055,soul and reggae,7
5382,metal,4
2546,punk,6
7652,pop,5
4338,folk,2
3750,pop,5
6344,soul and reggae,7
2226,classic pop and rock,0
1006,folk,2
1148,punk,6
5541,punk,6
4537,classic pop and rock,0
6520,punk,6
3074,metal,4
6474,folk,2
724,classic pop and rock,0
7813,pop,5
4481,metal,4
4742,jazz and blues,3
1679,metal,4
3333,soul and reggae,7
2815,dance and electronica,1
655,pop,5
1284,pop,5
1558,pop,5
7282,folk,2
4386,punk,6
6447,classic pop and rock,0
543,metal,4
4667,pop,5
5201,punk,6
7212,metal,4
4478,folk,2
3190,folk,2
3389,classic pop and rock,0
8337,folk,2
2431,metal,4
8035,classic pop and rock,0
6593,soul and reggae,7
7926,folk,2
6133,dance and electronica,1
7789,soul and reggae,7
3328,punk,6
2324,metal,4
1617,punk,6
2496,folk,2
1719,punk,6
2923,jazz and blues,3
6307,folk,2
3031,metal,4
1266,classic pop and rock,0
177,folk,2
7529,folk,2
2206,punk,6
6378,metal,4
6652,classic pop and rock,0
3892,classic pop and rock,0
3461,jazz and blues,3
3608,pop,5
7341,classic pop and rock,0
8365,classic pop and rock,0
2508,classic pop and rock,0
5728,punk,6
4342,classic pop and rock,0
6507,folk,2
6992,jazz and blues,3
62,folk,2
7038,classic pop and rock,0
6849,folk,2
753,metal,4
440,classic pop and rock,0
2569,soul and reggae,7
5180,jazz and blues,3
739,classic pop and rock,0
7983,folk,2
519,punk,6
6346,punk,6
1746,soul and reggae,7
7101,metal,4
7234,pop,5
8199,classic pop and rock,0
7070,jazz and blues,3
4474,metal,4
3768,punk,6
822,metal,4
1964,jazz and blues,3
2471,punk,6
3438,punk,6
2416,jazz and blues,3
4519,pop,5
2685,soul and reggae,7
1883,punk,6
1988,classic pop and rock,0
6056,folk,2
4913,folk,2
2591,folk,2
1762,classic pop and rock,0
3647,soul and reggae,7
5208,folk,2
5851,classic pop and rock,0
2213,dance and electronica,1
256,folk,2
5113,jazz and blues,3
3406,pop,5
2839,classic pop and rock,0
6509,metal,4
5017,folk,2
7937,metal,4
7014,classic pop and rock,0
4602,folk,2
7119,soul and reggae,7
2437,folk,2
8291,pop,5
7649,soul and reggae,7
7919,metal,4
859,pop,5
1211,pop,5
4416,folk,2
2501,punk,6
5280,punk,6
5150,pop,5
1498,jazz and blues,3
1240,pop,5
4266,metal,4
6273,classic pop and rock,0
5195,jazz and blues,3
2892,classic pop and rock,0
4699,soul and reggae,7
4239,folk,2
1835,punk,6
7088,classic pop and rock,0
5630,folk,2
556,punk,6
6637,folk,2
1304,soul and reggae,7
1654,metal,4
8188,soul and reggae,7
6107,dance and electronica,1
4990,jazz and blues,3
6773,punk,6
5994,punk,6
2118,metal,4
5027,metal,4
3340,folk,2
5386,classic pop and rock,0
7165,classic pop and rock,0
5421,classic pop and rock,0
206,jazz and blues,3
3772,metal,4
6697,soul and reggae,7
5645,classic pop and rock,0
1087,metal,4
6408,folk,2
8483,folk,2
291,folk,2
910,folk,2
290,punk,6
8066,classic pop and rock,0
5414,classic pop and rock,0
2843,folk,2
1059,folk,2
8401,pop,5
2732,metal,4
8528,folk,2
3878,classic pop and rock,0
6322,classic pop and rock,0
8481,folk,2
3321,classic pop and rock,0
4612,classic pop and rock,0
6456,metal,4
2945,metal,4
1622,metal,4
8479,metal,4
1312,punk,6
3305,metal,4
6258,punk,6
6347,pop,5
7595,soul and reggae,7
6534,punk,6
3084,pop,5
1482,metal,4
355,soul and reggae,7
418,folk,2
640,folk,2
5981,soul and reggae,7
8184,punk,6
3869,pop,5
7190,pop,5
3171,pop,5
1428,classic pop and rock,0
4589,punk,6
5455,punk,6
7847,classic pop and rock,0
2434,folk,2
6296,jazz and blues,3
1890,classic pop and rock,0
294,folk,2
7660,jazz and blues,3
7900,dance and electronica,1
2048,folk,2
5458,classic pop and rock,0
5502,dance and electronica,1
3156,metal,4
6438,soul and reggae,7
5432,dance and electronica,1
2383,folk,2
2424,folk,2
5855,classic pop and rock,0
1763,jazz and blues,3
5699,dance and electronica,1
5142,folk,2
7514,pop,5
4923,soul and reggae,7
6498,folk,2
6268,folk,2
5316,soul and reggae,7
7057,folk,2
8491,folk,2
4475,metal,4
4751,soul and reggae,7
4787,pop,5
7256,folk,2
115,folk,2
4173,classic pop and rock,0
7217,dance and electronica,1
8389,dance and electronica,1
3701,classic pop and rock,0
5763,folk,2
267,dance and electronica,1
1695,soul and reggae,7
2601,dance and electronica,1
692,pop,5
522,soul and reggae,7
410,classic pop and rock,0
5843,metal,4
7033,soul and reggae,7
5301,folk,2
3392,pop,5
1296,folk,2
7550,folk,2
7126,classic pop and rock,0
7933,punk,6
34,punk,6
3017,dance and electronica,1
962,metal,4
2407,classic pop and rock,0
5933,soul and reggae,7
7034,punk,6
3121,jazz and blues,3
5919,classic pop and rock,0
4453,classic pop and rock,0
8431,punk,6
7842,pop,5
636,folk,2
7173,jazz and blues,3
8097,classic pop and rock,0
864,folk,2
7472,folk,2
4224,folk,2
2997,soul and reggae,7
1147,pop,5
171,folk,2
6570,classic pop and rock,0
8283,folk,2
2311,metal,4
2683,soul and reggae,7
1717,classic pop and rock,0
1107,classic pop and rock,0
7858,soul and reggae,7
2566,folk,2
4302,dance and electronica,1
3998,classic pop and rock,0
7024,soul and reggae,7
7881,soul and reggae,7
2782,classic pop and rock,0
1602,metal,4
2175,pop,5
2234,classic pop and rock,0
3124,classic pop and rock,0
8554,pop,5
6922,soul and reggae,7
4165,pop,5
990,classic pop and rock,0
5267,soul and reggae,7
6664,metal,4
5052,punk,6
2156,folk,2
3113,classic pop and rock,0
4437,punk,6
507,pop,5
7827,punk,6
3168,soul and reggae,7
2456,folk,2
3199,classic pop and rock,0
8069,classic pop and rock,0
6342,classic pop and rock,0
8054,metal,4
6560,dance and electronica,1
5044,metal,4
4859,soul and reggae,7
5892,folk,2
3079,punk,6
243,folk,2
7880,folk,2
3954,folk,2
5206,folk,2
6370,dance and electronica,1
1078,folk,2
7040,jazz and blues,3
919,metal,4
6506,folk,2
2014,pop,5
7166,classic pop and rock,0
8116,metal,4
6516,classic pop and rock,0
5161,folk,2
1811,folk,2
4330,punk,6
627,pop,5
4288,pop,5
8411,punk,6
1029,classic pop and rock,0
1653,folk,2
499,soul and reggae,7
8552,soul and reggae,7
2354,soul and reggae,7
7483,soul and reggae,7
3146,punk,6
7320,classic pop and rock,0
1804,classic pop and rock,0
2149,classic pop and rock,0
3601,soul and reggae,7
5618,pop,5
7071,jazz and blues,3
4546,soul and reggae,7
6857,punk,6
5739,metal,4
8086,folk,2
6290,metal,4
7218,pop,5
1818,jazz and blues,3
1866,classic pop and rock,0
4492,metal,4
8417,folk,2
7840,punk,6
2408,classic pop and rock,0
1893,metal,4
3747,metal,4
2225,classic pop and rock,0
1435,classic pop and rock,0
584,folk,2
1411,pop,5
2361,soul and reggae,7
6475,classic pop and rock,0
5952,jazz and blues,3
1191,classic pop and rock,0
463,folk,2
3611,jazz and blues,3
3452,metal,4
1487,classic pop and rock,0
7695,metal,4
1876,pop,5
557,classic pop and rock,0
453,soul and reggae,7
7537,soul and reggae,7
727,soul and reggae,7
3822,folk,2
7114,classic pop and rock,0
12,pop,5
6921,punk,6
4099,metal,4
3870,pop,5
5606,classic pop and rock,0
8312,classic pop and rock,0
5632,dance and electronica,1
888,folk,2
8492,soul and reggae,7
4073,dance and electronica,1
616,folk,2
5859,soul and reggae,7
2998,folk,2
7767,classic pop and rock,0
8247,pop,5
6793,classic pop and rock,0
5083,jazz and blues,3
8393,punk,6
2425,classic pop and rock,0
7495,classic pop and rock,0
1098,soul and reggae,7
6502,jazz and blues,3
413,folk,2
6940,classic pop and rock,0
3434,metal,4
1018,classic pop and rock,0
4116,soul and reggae,7
3688,dance and electronica,1
746,soul and reggae,7
6137,soul and reggae,7
1527,classic pop and rock,0
4274,soul and reggae,7
606,folk,2
4843,classic pop and rock,0
2714,punk,6
238,punk,6
7125,pop,5
3657,classic pop and rock,0
2375,classic pop and rock,0
5445,classic pop and rock,0
4564,classic pop and rock,0
748,metal,4
4812,pop,5
6765,folk,2
778,metal,4
3303,dance and electronica,1
5610,metal,4
4625,classic pop and rock,0
6997,classic pop and rock,0
3215,classic pop and rock,0
6557,folk,2
4255,dance and electronica,1
2955,soul and reggae,7
140,folk,2
3032,pop,5
6123,soul and reggae,7
6429,punk,6
5669,punk,6
7003,soul and reggae,7
6497,folk,2
6312,metal,4
4152,dance and electronica,1
7442,pop,5
7664,punk,6
6172,pop,5
883,punk,6
3228,soul and reggae,7
7011,metal,4
5562,pop,5
4878,classic pop and rock,0
6294,folk,2
8375,folk,2
1735,classic pop and rock,0
5240,folk,2
3552,pop,5
7499,soul and reggae,7
2276,soul and reggae,7
1030,pop,5
1559,punk,6
7299,punk,6
3150,jazz and blues,3
6532,soul and reggae,7
2476,folk,2
7390,folk,2
2041,classic pop and rock,0
7363,folk,2
1016,classic pop and rock,0
800,folk,2
3468,classic pop and rock,0
6023,pop,5
5850,classic pop and rock,0
6460,soul and reggae,7
6352,folk,2
2238,folk,2
473,folk,2
3824,pop,5
3807,classic pop and rock,0
3366,pop,5
4674,punk,6
8350,classic pop and rock,0
7832,classic pop and rock,0
1279,punk,6
6611,metal,4
4597,classic pop and rock,0
8334,jazz and blues,3
398,metal,4
1359,dance and electronica,1
3740,folk,2
1381,classic pop and rock,0
5742,jazz and blues,3
5171,punk,6
3710,metal,4
5024,classic pop and rock,0
4025,classic pop and rock,0
6235,dance and electronica,1
6018,soul and reggae,7
4050,jazz and blues,3
4785,punk,6
7604,punk,6
2749,folk,2
3041,punk,6
5959,pop,5
3880,soul and reggae,7
7862,metal,4
2144,metal,4
1017,classic pop and rock,0
7904,pop,5
4784,punk,6
3004,metal,4
5078,pop,5
496,folk,2
5265,folk,2
592,soul and reggae,7
3774,folk,2
6042,folk,2
7641,folk,2
4566,classic pop and rock,0
7674,metal,4
1842,folk,2
490,pop,5
633,punk,6
4413,classic pop and rock,0
1950,classic pop and rock,0
607,pop,5
1982,metal,4
4368,soul and reggae,7
4203,folk,2
1217,classic pop and rock,0
5015,punk,6
4033,soul and reggae,7
7825,folk,2
3896,classic pop and rock,0
3040,folk,2
53,classic pop and rock,0
2502,classic pop and rock,0
5553,classic pop and rock,0
8279,classic pop and rock,0
5028,metal,4
6585,soul and reggae,7
1079,soul and reggae,7
1033,folk,2
6706,pop,5
5722,pop,5
1534,metal,4
3957,folk,2
4961,soul and reggae,7
5687,soul and reggae,7
3666,metal,4
1848,folk,2
1243,metal,4
797,punk,6
8056,classic pop and rock,0
6465,metal,4
1069,dance and electronica,1
4360,pop,5
4569,punk,6
6572,metal,4
342,punk,6
102,jazz and blues,3
8275,metal,4
1408,metal,4
4539,soul and reggae,7
5091,metal,4
429,folk,2
1792,metal,4
6001,jazz and blues,3
182,folk,2
7575,metal,4
2021,dance and electronica,1
2729,folk,2
5911,classic pop and rock,0
531,metal,4
1422,classic pop and rock,0
7848,pop,5
8187,classic pop and rock,0
7447,metal,4
3934,punk,6
1902,pop,5
6911,classic pop and rock,0
7414,classic pop and rock,0
3715,punk,6
759,folk,2
3724,folk,2
2904,classic pop and rock,0
6015,classic pop and rock,0
5675,folk,2
8065,classic pop and rock,0
325,classic pop and rock,0
4871,punk,6
4549,folk,2
5869,classic pop and rock,0
6882,classic pop and rock,0
2412,pop,5
5333,folk,2
2158,folk,2
8151,folk,2
8231,pop,5
7084,folk,2
7506,classic pop and rock,0
1944,folk,2
1606,metal,4
1765,jazz and blues,3
761,folk,2
8466,classic pop and rock,0
8217,metal,4
8272,punk,6
7785,metal,4
3825,folk,2
6647,folk,2
2337,classic pop and rock,0
7487,classic pop and rock,0
3679,soul and reggae,7
6007,folk,2
1694,soul and reggae,7
7977,soul and reggae,7
3371,folk,2
4991,metal,4
7883,classic pop and rock,0
7791,metal,4
3937,folk,2
8243,pop,5
6548,metal,4
1912,soul and reggae,7
1572,metal,4
1608,folk,2
7111,soul and reggae,7
3602,punk,6
2805,folk,2
2803,classic pop and rock,0
5406,folk,2
1764,punk,6
1798,punk,6
3762,metal,4
2417,pop,5
3796,jazz and blues,3
7089,punk,6
1565,jazz and blues,3
2440,folk,2
6751,punk,6
5789,punk,6
3583,punk,6
4353,punk,6
205,classic pop and rock,0
3102,classic pop and rock,0
7422,soul and reggae,7
198,metal,4
5296,folk,2
5288,metal,4
8120,classic pop and rock,0
5389,classic pop and rock,0
3936,folk,2
6918,metal,4
7338,folk,2
2452,punk,6
7304,classic pop and rock,0
3191,punk,6
3472,soul and reggae,7
8154,jazz and blues,3
4091,metal,4
4422,classic pop and rock,0
6920,metal,4
4565,metal,4
2004,folk,2
75,punk,6
2762,metal,4
2190,classic pop and rock,0
6845,classic pop and rock,0
7286,folk,2
701,dance and electronica,1
3812,metal,4
51,classic pop and rock,0
7399,metal,4
2283,folk,2
4464,punk,6
296,punk,6
4339,dance and electronica,1
4757,pop,5
7415,folk,2
4897,pop,5
687,soul and reggae,7
164,metal,4
2474,classic pop and rock,0
7685,dance and electronica,1
8061,classic pop and rock,0
2070,metal,4
1631,folk,2
2794,classic pop and rock,0
7328,folk,2
3071,folk,2
6656,classic pop and rock,0
2298,pop,5
3198,folk,2
1399,folk,2
4345,dance and electronica,1
3681,punk,6
1222,punk,6
3619,metal,4
5213,metal,4
2673,folk,2
3605,metal,4
3278,folk,2
5342,folk,2
2270,folk,2
3402,classic pop and rock,0
1776,classic pop and rock,0
793,folk,2
1215,classic pop and rock,0
1780,punk,6
1067,folk,2
2038,folk,2
6569,soul and reggae,7
7478,punk,6
623,classic pop and rock,0
7420,folk,2
808,pop,5
6910,folk,2
8425,folk,2
7438,pop,5
4011,soul and reggae,7
441,folk,2
5271,pop,5
1034,punk,6
6809,punk,6
4367,folk,2
4915,punk,6
5690,metal,4
435,soul and reggae,7
3731,soul and reggae,7
7669,classic pop and rock,0
1476,jazz and blues,3
147,soul and reggae,7
3703,soul and reggae,7
2971,classic pop and rock,0
2395,classic pop and rock,0
1551,metal,4
1123,metal,4
7176,classic pop and rock,0
5148,classic pop and rock,0
3103,punk,6
4318,folk,2
7470,classic pop and rock,0
1270,classic pop and rock,0
8447,punk,6
4855,folk,2
8553,classic pop and rock,0
1347,metal,4
387,soul and reggae,7
1569,classic pop and rock,0
4351,dance and electronica,1
5905,pop,5
5418,classic pop and rock,0
6633,soul and reggae,7
4639,punk,6
2150,soul and reggae,7
2056,folk,2
760,pop,5
1773,soul and reggae,7
2317,classic pop and rock,0
380,metal,4
3505,classic pop and rock,0
2585,soul and reggae,7
1670,jazz and blues,3
6353,metal,4
7032,pop,5
5291,classic pop and rock,0
278,folk,2
7154,soul and reggae,7
1726,classic pop and rock,0
6062,soul and reggae,7
7593,punk,6
5199,folk,2
4357,metal,4
101,classic pop and rock,0
6924,punk,6
2983,jazz and blues,3
4385,pop,5
923,folk,2
5190,punk,6
6744,dance and electronica,1
2304,dance and electronica,1
3100,folk,2
7331,folk,2
4061,classic pop and rock,0
4074,soul and reggae,7
3112,punk,6
3023,punk,6
657,classic pop and rock,0
4744,metal,4
7334,classic pop and rock,0
2936,folk,2
6669,folk,2
404,metal,4
2459,soul and reggae,7
3223,pop,5
3603,dance and electronica,1
4753,metal,4
4997,pop,5
4807,pop,5
1940,dance and electronica,1
5167,classic pop and rock,0
4123,metal,4
2848,soul and reggae,7
8091,classic pop and rock,0
1711,folk,2
3327,classic pop and rock,0
537,punk,6
6513,soul and reggae,7
7407,dance and electronica,1
3300,folk,2
317,punk,6
1118,classic pop and rock,0
1314,dance and electronica,1
7025,pop,5
7467,jazz and blues,3
4940,metal,4
4998,folk,2
5152,folk,2
2610,pop,5
855,classic pop and rock,0
3244,jazz and blues,3
7141,folk,2
4231,classic pop and rock,0
6124,dance and electronica,1
8428,dance and electronica,1
5729,soul and reggae,7
5244,metal,4
6413,folk,2
22,folk,2
4014,pop,5
1226,folk,2
4246,metal,4
4728,jazz and blues,3
4188,folk,2
5012,metal,4
7392,punk,6
7074,soul and reggae,7
5518,dance and electronica,1
5378,classic pop and rock,0
4875,folk,2
3006,soul and reggae,7
1061,punk,6
2568,folk,2
2708,classic pop and rock,0
8261,metal,4
6279,punk,6
7187,folk,2
3950,classic pop and rock,0
3763,metal,4
1499,punk,6
2022,dance and electronica,1
274,punk,6
3259,folk,2
2489,dance and electronica,1
3135,punk,6
833,folk,2
262,folk,2
4166,folk,2
8315,folk,2
8324,classic pop and rock,0
3000,jazz and blues,3
4289,classic pop and rock,0
1066,folk,2
3418,folk,2
1494,metal,4
6546,punk,6
3949,metal,4
2513,pop,5
591,jazz and blues,3
8342,jazz and blues,3
1616,folk,2
1143,punk,6
829,punk,6
100,jazz and blues,3
6472,punk,6
5677,metal,4
3844,soul and reggae,7
928,classic pop and rock,0
6512,punk,6
8044,pop,5
929,pop,5
242,soul and reggae,7
121,pop,5
646,folk,2
5813,classic pop and rock,0
1747,folk,2
1849,soul and reggae,7
2072,soul and reggae,7
7200,folk,2
2624,classic pop and rock,0
7522,punk,6
4629,dance and electronica,1
5803,punk,6
6154,folk,2
2485,metal,4
6563,punk,6
1423,classic pop and rock,0
5367,classic pop and rock,0
1633,pop,5
6733,pop,5
3013,punk,6
6386,soul and reggae,7
8043,folk,2
4457,classic pop and rock,0
8219,punk,6
5532,soul and reggae,7
3911,metal,4
3914,classic pop and rock,0
8436,metal,4
2881,classic pop and rock,0
3749,classic pop and rock,0
1926,folk,2
2228,punk,6
252,folk,2
6626,folk,2
4846,pop,5
4275,punk,6
4156,soul and reggae,7
1959,soul and reggae,7
353,metal,4
1778,pop,5
2153,classic pop and rock,0
6828,pop,5
40,classic pop and rock,0
6982,soul and reggae,7
670,pop,5
622,metal,4
8457,classic pop and rock,0
191,metal,4
5486,metal,4
6012,metal,4
3268,dance and electronica,1
2951,pop,5
7976,classic pop and rock,0
4403,folk,2
6103,classic pop and rock,0
1600,soul and reggae,7
894,jazz and blues,3
8465,soul and reggae,7
5758,pop,5
1490,dance and electronica,1
6673,punk,6
7144,classic pop and rock,0
3538,folk,2
6248,classic pop and rock,0
6524,punk,6
3802,folk,2
315,folk,2
15,classic pop and rock,0
6500,classic pop and rock,0
4068,metal,4
8177,classic pop and rock,0
420,punk,6
303,dance and electronica,1
4223,classic pop and rock,0
776,classic pop and rock,0
2918,soul and reggae,7
4218,metal,4
4735,folk,2
4207,folk,2
4560,classic pop and rock,0
3453,pop,5
4668,soul and reggae,7
650,classic pop and rock,0
5320,folk,2
18,folk,2
6337,folk,2
5025,punk,6
6093,folk,2
3037,classic pop and rock,0
17,soul and reggae,7
5394,pop,5
3173,folk,2
3616,metal,4
6722,dance and electronica,1
1251,jazz and blues,3
580,folk,2
1858,metal,4
7717,metal,4
6050,punk,6
2958,metal,4
4692,classic pop and rock,0
2360,folk,2
7932,metal,4
6096,folk,2
7426,punk,6
492,classic pop and rock,0
2970,metal,4
1037,punk,6
2787,classic pop and rock,0
7358,metal,4
2312,folk,2
2282,classic pop and rock,0
2257,jazz and blues,3
1051,dance and electronica,1
4733,classic pop and rock,0
2055,soul and reggae,7
5577,metal,4
4070,folk,2
2065,punk,6
4018,pop,5
1540,folk,2
6314,classic pop and rock,0
4570,folk,2
2082,classic pop and rock,0
8522,metal,4
6913,punk,6
6675,pop,5
295,soul and reggae,7
1170,folk,2
6869,soul and reggae,7
3685,classic pop and rock,0
5185,folk,2
1058,classic pop and rock,0
3539,folk,2
6074,soul and reggae,7
6063,metal,4
